ukb_code	uniprot_id	protein_name	gene_symbol	chr_hg19	start_bp_hg19	end_bp_hg19	olink_panel
1	P04217	Alpha-1B-glycoprotein	A1BG	19	58856544	58864865	Inflammation II
2	Q9H7C9	Mth938 domain-containing protein	AAMDC	11	77532155	77629478	Cardiometabolic II
3	Q9BTE6	Alanyl-tRNA editing protein Aarsd1	AARSD1	17	41102543	41116515	Oncology
4	Q9BZC7	ATP-binding cassette sub-family A member 2	ABCA2	9	139901686	139923367	Cardiometabolic II
5	Q96IU4	Protein ABHD14B	ABHD14B	3	52002526	52017425	Neurology
6	P00519	Tyrosine-protein kinase ABL1	ABL1	9	133589333	133763062	Oncology
7	P16442	Histo-blood group ABO system transferase	ABO	9	136125788	136150617	Inflammation II
8	Q15018	BRISC complex subunit Abraxas 2	ABRAXAS2	10	126490354	126525239	Cardiometabolic II
9	P09110	3-ketoacyl-CoA thiolase, peroxisomal	ACAA1	3	38144620	38178733	Oncology
10	P11310	Medium-chain specific acyl-CoA dehydrogenase, mitochondrial	ACADM	1	76190036	76253260	Oncology II
11	P45954	Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial	ACADSB	10	124768495	124817827	Cardiometabolic II
12	P16112	Aggrecan core protein	ACAN	15	89346674	89418585	Cardiometabolic
13	P12821	Angiotensin-converting enzyme	ACE	17	61554422	61599205	Inflammation II
14	Q9BYF1	Angiotensin-converting enzyme 2	ACE2	X	15579156	15620271	Cardiometabolic
15	P22303	Acetylcholinesterase	ACHE	7	100487615	100494594	Inflammation II
16	Q9NPJ3	Acyl-coenzyme A thioesterase 13	ACOT13	6	24667263	24705293	Oncology II
17	Q15067	Peroxisomal acyl-coenzyme A oxidase 1	ACOX1	17	73937588	73975515	Cardiometabolic
18	P24666	Low molecular weight phosphotyrosine protein phosphatase	ACP1	2	264140	278283	Inflammation II
19	P13686	Tartrate-resistant acid phosphatase type 5	ACP5	19	11685475	11689823	Cardiometabolic
20	Q9NPH0	Lysophosphatidic acid phosphatase type 6	ACP6	1	147101453	147142618	Oncology
21	Q8NEB7	Acrosin-binding protein	ACRBP	12	6747241	6756626	Oncology II
22	P26436	Acrosomal protein SP-10	ACRV1	11	125541417	125551018	Inflammation II
23	P33121	Long-chain-fatty-acid--CoA ligase 1	ACSL1	4	185676749	185747972	Cardiometabolic II
24	P62736	Actin, aortic smooth muscle	ACTA2	10	90694831	90751147	Cardiometabolic
25	P35609	Alpha-actinin-2	ACTN2	1	236849754	236927931	Cardiometabolic II
26	O43707	Alpha-actinin-4	ACTN4	19	39138289	39222223	Inflammation
27	P37023	Serine/threonine-protein kinase receptor R3	ACVRL1	12	52300692	52317145	Neurology
28	Q03154	Aminoacylase-1	ACY1	3	52009066	52023213	Cardiometabolic
29	Q96HD9	N-acyl-aromatic-L-amino acid amidohydrolase	ACY3	11	67410026	67418130	Cardiometabolic II
30	P07311	Acylphosphatase-1	ACYP1	14	75519924	75536186	Inflammation II
31	P00813	Adenosine deaminase	ADA	20	43248163	43280874	Inflammation
32	Q9NZK5	Adenosine deaminase 2	ADA2	22	17660194	17702879	Cardiometabolic
33	O43184	Disintegrin and metalloproteinase domain-containing protein 12	ADAM12	10	127700950	128077024	Inflammation II
34	Q13444	Disintegrin and metalloproteinase domain-containing protein 15	ADAM15	1	155023042	155035252	Cardiometabolic
35	Q9P0K1	Disintegrin and metalloproteinase domain-containing protein 22	ADAM22	7	87563458	87832204	Neurology
36	O75077	Disintegrin and metalloproteinase domain-containing protein 23	ADAM23	2	207308263	207485851	Inflammation
37	P78325	Disintegrin and metalloproteinase domain-containing protein 8	ADAM8	10	135075907	135090372	Neurology
38	Q13443	Disintegrin and metalloproteinase domain-containing protein 9	ADAM9	8	38854388	38962663	Oncology II
39	Q9UHI8	A disintegrin and metalloproteinase with thrombospondin motifs 1	ADAMTS1	21	28208066	28217728	Inflammation II
40	Q76LX8	A disintegrin and metalloproteinase with thrombospondin motifs 13	ADAMTS13	9	136279478	136324508	Cardiometabolic
41	Q8TE58	A disintegrin and metalloproteinase with thrombospondin motifs 15	ADAMTS15	11	130318869	130346532	Oncology
42	Q8TE57	A disintegrin and metalloproteinase with thrombospondin motifs 16	ADAMTS16	5	5140443	5320417	Cardiometabolic
43	O75173	A disintegrin and metalloproteinase with thrombospondin motifs 4	ADAMTS4	1	161154098	161168846	Inflammation II
44	Q9UP79	A disintegrin and metalloproteinase with thrombospondin motifs 8	ADAMTS8	11	130274820	130298888	Oncology
45	Q86TH1	ADAMTS-like protein 2	ADAMTSL2	9	136397286	136440641	Cardiometabolic II
46	Q6UY14	ADAMTS-like protein 4	ADAMTSL4	1	150521884	150533413	Cardiometabolic II
47	Q6ZMM2	ADAMTS-like protein 5	ADAMTSL5	19	1505017	1513603	Cardiometabolic II
48	P41586	Pituitary adenylate cyclase-activating polypeptide type I receptor	ADCYAP1R1	7	31092076	31151089	Oncology
49	P35611	Alpha-adducin	ADD1	4	2845584	2931803	Inflammation II
50	O60242	Adhesion G protein-coupled receptor B3	ADGRB3	6	69345259	70099403	Neurology
51	Q6QNK2	Adhesion G-protein coupled receptor D1	ADGRD1	12	131438452	131626014	Inflammation II
52	Q14246	Adhesion G protein-coupled receptor E1	ADGRE1	19	6887577	6940470	Oncology II
53	Q9UHX3	Adhesion G protein-coupled receptor E2	ADGRE2	19	14843205	14889353	Inflammation
54	P48960	Adhesion G protein-coupled receptor E5	ADGRE5	19	14491313	14519537	Cardiometabolic
55	Q8IZF2	Adhesion G protein-coupled receptor F5	ADGRF5	6	46820249	46922680	Cardiometabolic II
56	Q9Y653	Adhesion G-protein coupled receptor G1	ADGRG1	16	57644564	57698944	Oncology
57	Q8IZP9	Adhesion G-protein coupled receptor G2	ADGRG2	X	19007427	19140755	Cardiometabolic
58	Q8WXG9	Adhesion G-protein coupled receptor V1	ADGRV1	5	89825161	90460038	Neurology II
59	P00325	All-trans-retinol dehydrogenase	ADH1B	4	100226121	100242558	Inflammation II
60	P08319	All-trans-retinol dehydrogenase [NAD(+)] ADH4	ADH4	4	100044808	100078949	Cardiometabolic
61	Q15848	Adiponectin	ADIPOQ	3	186560463	186576252	Inflammation II
62	P35318	Pro-adrenomedullin	ADM	11	10326227	10328944	Oncology
63	P08913	Alpha-2A adrenergic receptor	ADRA2A	10	112836790	112840658	Cardiometabolic II
64	Q8N556	Actin filament-associated protein 1	AFAP1	4	7760441	7941653	Inflammation II
65	P43652	Afamin	AFM	4	74347400	74369691	Inflammation II
66	P02771	Alpha-fetoprotein	AFP	4	74296855	74321891	Neurology
67	Q5U5Z8	Cytosolic carboxypeptidase 2	AGBL2	11	47681143	47736941	Neurology II
68	Q15109	Advanced glycosylation end product-specific receptor	AGER	6	32148745	32152101	Inflammation
69	O95994	Anterior gradient protein 2 homolog	AGR2	7	16831435	16873057	Neurology
70	Q8TD06	Anterior gradient protein 3	AGR3	7	16899029	16921611	Oncology
71	O00468	Agrin	AGRN	1	955503	991496	Inflammation
72	O00253	Agouti-related protein	AGRP	16	67516474	67517716	Inflammation
73	P01019	Angiotensinogen	AGT	1	230838269	230850043	Inflammation II
74	P21549	Serine--pyruvate aminotransferase	AGXT	2	241807896	241819919	Cardiometabolic
75	P23526	Adenosylhomocysteinase	AHCY	20	32868074	32899608	Cardiometabolic
76	Q09666	Neuroblast differentiation-associated protein AHNAK	AHNAK	11	62201016	62323707	Cardiometabolic II
77	Q8IVF2	Protein AHNAK2	AHNAK2	14	105403581	105444694	Cardiometabolic II
78	O95433	Activator of 90 kDa heat shock protein ATPase homolog 1	AHSA1	14	77924213	77935817	Oncology II
79	P02765	Alpha-2-HS-glycoprotein	AHSG	3	186330712	186339107	Inflammation II
80	Q9NZD4	Alpha-hemoglobin-stabilizing protein	AHSP	16	31539185	31540124	Neurology
81	Q96BJ3	Axin interactor, dorsalization-associated protein	AIDA	1	222841355	222886552	Neurology II
82	P55008	Allograft inflammatory factor 1	AIF1	6	31582961	31584798	Oncology
83	Q9BQI0	Allograft inflammatory factor 1-like	AIF1L	9	133971863	133998539	Cardiometabolic II
84	O95831	Apoptosis-inducing factor 1, mitochondrial	AIFM1	X	129263337	129299861	Oncology
85	P00568	Adenylate kinase isoenzyme 1	AK1	9	130628759	130640022	Cardiometabolic
86	P54819	Adenylate kinase 2, mitochondrial	AK2	1	33473585	33546597	Neurology II
87	Q02952	A-kinase anchor protein 12	AKAP12	6	151561134	151679692	Inflammation II
88	P15121	Aldo-keto reductase family 1 member B1	AKR1B1	7	134127102	134144036	Oncology
89	O60218	Aldo-keto reductase family 1 member B10	AKR1B10	7	134212344	134226160	Neurology II
90	P17516	Aldo-keto reductase family 1 member C4	AKR1C4	10	5237425	5260912	Cardiometabolic
91	Q8NHP1	Aflatoxin B1 aldehyde reductase member 4	AKR7L	1	19592476	19600688	Inflammation II
92	Q96B36	Proline-rich AKT1 substrate 1	AKT1S1	19	50372295	50381716	Neurology
93	P31751	RAC-beta serine/threonine-protein kinase	AKT2	19	40736224	40791443	Neurology II
94	Q9Y243	RAC-gamma serine/threonine-protein kinase	AKT3	1	243651535	244014381	Oncology
95	Q13740	CD166 antigen	ALCAM	3	105085753	105295744	Cardiometabolic
96	P00352	Retinal dehydrogenase 1	ALDH1A1	9	75515578	75695358	Neurology
97	P05091	Aldehyde dehydrogenase, mitochondrial	ALDH2	12	112204691	112247782	Oncology II
98	P30838	Aldehyde dehydrogenase, dimeric NADP-preferring	ALDH3A1	17	19641297	19652256	Inflammation
99	P51649	Succinate-semialdehyde dehydrogenase, mitochondrial	ALDH5A1	6	24495080	24537435	Neurology II
100	Q8TCU4	Alstrom syndrome protein 1	ALMS1	2	73612886	73837920	Oncology II
101	P09923	Intestinal-type alkaline phosphatase	ALPI	2	233320833	233324742	Inflammation II
102	P05187	Alkaline phosphatase, placental type	ALPP	2	233243244	233247599	Oncology
103	Q9NP70	Ameloblastin	AMBN	4	71457973	71473005	Inflammation
104	P02760	Protein AMBP	AMBP	9	116822407	116840752	Oncology
105	Q9Y303	N-acetylglucosamine-6-phosphate deacetylase	AMDHD2	16	2570358	2581423	Cardiometabolic II
106	Q9UKV5	E3 ubiquitin-protein ligase AMFR	AMFR	16	56395364	56459450	Neurology
107	Q86WK6	Amphoterin-induced protein 1	AMIGO1	1	110046797	110052360	Neurology II
108	Q86SJ2	Amphoterin-induced protein 2	AMIGO2	12	47469490	47473734	Oncology
109	Q9BXJ7	Protein amnionless	AMN	14	103388993	103399933	Inflammation
110	Q4VCS5	Angiomotin	AMOT	X	112017731	112084043	Inflammation II
111	Q9Y2J4	Angiomotin-like protein 2	AMOTL2	3	134074716	134094321	Oncology II
112	Q01432	AMP deaminase 3	AMPD3	11	10329860	10529126	Neurology II
113	P0DUB6_P0DTE7_P0DTE8	Alpha-amylase 1A_Alpha-amylase 1B_Alpha-amylase 1C	AMY1A_AMY1B_AMY1C	1	104197912	104301312	Inflammation II
114	P04746	Pancreatic alpha-amylase	AMY2A	1	104159999	104168402	Cardiometabolic
115	P19961	Alpha-amylase 2B	AMY2B	1	104096437	104122156	Cardiometabolic
116	P03950	Angiogenin	ANG	14	21152336	21167130	Cardiometabolic
117	Q15389	Angiopoietin-1	ANGPT1	8	108261721	108510283	Inflammation
118	O15123	Angiopoietin-2	ANGPT2	8	6357172	6420930	Oncology
119	O95841	Angiopoietin-related protein 1	ANGPTL1	1	178818840	178840187	Cardiometabolic
120	Q9UKU9	Angiopoietin-related protein 2	ANGPTL2	9	129849611	129885162	Inflammation
121	Q9Y5C1	Angiopoietin-related protein 3	ANGPTL3	1	63063158	63071830	Cardiometabolic
122	Q9BY76	Angiopoietin-related protein 4	ANGPTL4	19	8428173	8439257	Inflammation
123	O43827	Angiopoietin-related protein 7	ANGPTL7	1	11249398	11256038	Oncology
124	Q01484	Ankyrin-2	ANK2	4	113739265	114304896	Cardiometabolic II
125	Q8IV38	Ankyrin repeat and MYND domain-containing protein 2	ANKMY2	7	16639401	16685442	Inflammation II
126	Q9H9E1	Ankyrin repeat family A protein 2	ANKRA2	5	72848160	72861511	Oncology II
127	Q6NXT1	Ankyrin repeat domain-containing protein 54	ANKRD54	22	38226862	38245334	Oncology
128	O43423	Acidic leucine-rich nuclear phosphoprotein 32 family member C	ANP32C	4	165118159	165118863	Cardiometabolic II
129	P15144	Aminopeptidase N	ANPEP	15	90328120	90358633	Cardiometabolic
130	P04083	Annexin A1	ANXA1	9	75766673	75785309	Inflammation II
131	Q9UJ72	Annexin A10	ANXA10	4	169013666	169108841	Neurology
132	P50995	Annexin A11	ANXA11	10	81910645	81965328	Inflammation
133	P07355	Annexin A2	ANXA2	15	60639333	60695082	Cardiometabolic II
134	P12429	Annexin A3	ANXA3	4	79472673	79531597	Neurology
